212-213	E[nkidu] rose against him, face to face,
214	and they met in the Great Square of the land.
215-216	Enkidu with his foot barred the door;
217	he would not let Gilgameš enter.
218-219	They grappled — bent low like champion bulls,
220-221	they wrecked the doorpost; the wall shuddered;
222-224	Gilgameš and Enkidu grappled, and bent low like champion bulls,
225-226	they wrecked the doorpost; the wall shuddered.
227-228	Then Gilgameš knelt, one foot to the ground;
229-230	his fury quieted; he turned his chest away.
231	When he had turned his chest away,
232-233	Enkidu said to him, to Gilgameš:
234-235	"As one all your own your mother bore you —
236-237	the Wild Cow of the Sheepfold, Ninsun!
238	High is your head over fighting men:
239-240	the kingship of the people Enlil decreed for you."
241	Second tablet.
242	"Surpassing all kings" — (the series continues.)
