10-11	"[ ... ] why, my friend, does your body flinch(?)?
12-13	W[hy] do you long to do t[h]is thing —
14-15	[ ... ] anything [ ... ] you long for it so hard —
17	a work that has [never y]et been in the land?"
140	"Who is there, my friend, ever went up to the sk[y?]
141	Only the gods d[well] for ever with the sun;
142	as for man — his days are numbered;
143	whatever he ever does is only wind.
144	Here you are, even you, afraid of death —
145	what good is the might of your fighting heart?
146	Then I will go in front of you:
147	let your mouth call to me, 'Go close — do not fear!'
148	And if I fall, I will have planted my name:
149-150	'Gilgameš — against Huwawa the ferocious he joined battle!'
151	You were born and you were raised in the open land;
152	lions leapt at you; you have known everything;
153	grown men fled before you;
154-155	[ ... the star(?)] of the death-hour —
156	[and yet yo]u talk like a milksop!
157	[Your] sla[ck mouth] is sickening my heart.
158-159	[Let me] set [my hand] to it and c[u]t down the cedar:
160	a [name that] endures — I! — let me plant it!
161	[Come, my fr]iend — let me hurry to the forge:
162	let [axes be] cast in front of us."
163	They [to]ok each other's hand and hurried to the forge;
164	the craftsmen sat deliberating:
165	they cast the great axes,
166	poured hatchets of three talents each;
167	they cast the great knives:
168	blades of two talents each,
169	the cheek-ridges of their fittings thirty minas each,
170	the inlay on the knives thirty minas of gold.
171	Gilgameš and Enkidu were loaded with ten talents each.
172	He bolted the seven [ga]te[s of] Uruk;
173	he called [the assembly,] and the crowd gathered;
174	[ ... ] in the street of Uruk-of-the-Squares
175	Gilgameš [sat upon(?) his thr]one;
176	[in the street of Uruk]-of-the-Squares
177	[the crowd s]at before him,
178	[and Gilgameš spo]ke [thus]
179	[to the elders of Uruk]-of-the-Squares:
180	"[Hear me, elders of Uru]k-of-the-Sq[uar]es:
182	I would see the god of whom they talk,
183	whose name the lands keep tossing to and fro —
184	I would run him down in the Cedar Forest!
185-186	'How mighty is the sprout of Uruk!' — I will make the land hear it.
187	Let me set my hand to it and cut down the cedar:
188	a name that endures — I! — let me plant it!"
189	The elders of Uruk-of-the-Squares
190	returned word to Gilgameš:
191	"You are young, Gilgameš; your heart carries you away,
192	and everything you keep doing — you do not know it.
193	We keep hearing of Huwawa: strange is the look of him —
194	who is there could f[a]ce his weapons?
195	For sixty [leagu]es in every direction the forest is a wilderness —
196	who is there would go [do]wn into its heart?
197	Huwawa — his [vo]ice is the Flood;
198	his mouth is fire, and his breath is death.
199	Why do you long to do this thing?
200	An unwinnable fight is the lair of Huwawa!"
201	Gilgameš heard the word of his counsellors:
202	he looked round and laughed at his fr[ie]nd:
203	"Now, my friend — thus [shall I say(?):]
204	'I am afraid of him, so I will n[ot go'(?) ... ?]
205-206	not [ ... ]
211	H[e(?) ... ]
213	"May your god ma[ke] your [fee]t [go straight;]
214	the road [ ... ]
215	may he bring you [back in s]afety to the quay of Uru[k!"]
216	Gilgameš knelt down b[efore Ša]maš;
217	the words he spo[ke ... :]
218	"I am going, Šamaš, to the pl[ace of Huwawa:]
219	there let me prosper; keep [my] li[fe safe;]
220	bring me back to the quay o[f Uruk-of-the-Squares;]
221	set [your] pro[tection over me!"]
222	Gilgameš called [ ... ]
223	and h[is] instruction [ ... ]
224	The palace [ ... ]
228	In [ ... ]
229	[Down the wa]ll of his nose the tears keep running:
230	"[I shall walk,] my god, a road I have never walked;
231	[ ... ] whose [ ... ] my god, I do not know.
232	Let me c[ome ba]ck(?); let me stay safe —
233	[let me see] your [fac]e with a glad heart:
234	[I will build y]ou a house of your delight;
235	[I will se]at you o[n] thrones."
236	[ ... ] his gear;
237	[ ... ] the great [kniv]es,
238	[ ... b]ow and quiver
239	[were placed in] their hands.
240	[He himself t]ook the axes,
241-242	[ ... ] his quiver [and the b]o[w] of Anšan;
243	[he put] his [k]nife in his belt;
244	[thus arr]ayed, they began the march.
245	[The young me]n(?) were saluting Gilgameš:
246	"[ ... may] you come back into the middle of the city!"
247-248	The [eld]ers salute him and give Gilgameš counsel [f]or the road:
249	"Do [no]t trust, Gilgameš, in your own strength;
250	let your [ey]es be sated with looking; guard yourself.
251	[Let] Enkidu [g]o in front of you:
252	he has seen the [tra]ck; he has walked the road;
253	[he kn]ows the passes of the forest
254	and all the tricks [of H]uwawa.
255	[The one who g]oes in front keeps the companion safe;
256	[the one whose e]yes are wide open — his own self he gua[rds(?).]
257	May Šamaš [let] you reach your triumph;
258	may your eyes be shown the things your mouth has spoken;
259	may he open for you the barred path,
260	unbolt the road for your tread,
261	unbolt the mountain for your foot.
262-263a	May the night bring you a word to gladden you,
263b-264	and Lugalbanda stand by you in your triumph.
265	Attain your triumph like a boy(?):
266	in the river of Huwawa, the one you are set on,
267	wash your feet;
268	at your night-camp dig a well —
269	let the water in your skin be always clean;
270	pour cool water in libation to Šamaš,
271	and keep Lugalbanda, [your go]d, in mind."
272	[Enkid]u shaped his mouth, saying to Gilgameš:
273	"[Since] you are set [on it] — make the march.
274	Let your heart have no fear; look to me:
275	[in the fo]rest I know his den,
276	[and the roads(?) th]at Huwawa walks.
277	[ ... ] speak, and dismiss them."
279	"[Let them not g]o with me,
280	[ ... ] for you."
281	[The cro]wd, with glad heart,
282	[hea]rd this his speech;
283	the young men [ ... ]
284	"Go, Gilgameš — may [ ... ;]
285	may [your] god go [in front of you;]
286	may [Šamaš let] you rea[ch your triumph!"]
287	Gilgameš and E[nkidu ... ]
289	betwe[en ... ]
